"crl.tot","dollar","bang","money","n000","make","yesno"
757,0.177,1.316,0.55,0.13,0.13,"y"
18,0,0,0,0,0,"n"
249,0.524,1.154,0,0,0,"y"
34,0,0,0,0,0,"n"
190,0.312,0.625,0.49,0,0,"y"
63,0,0,0,0,0,"n"
539,0.058,0.019,0.16,0.21,0.27,"y"
59,0,0,0,0,0,"n"
113,0,0,0,0,0,"n"
513,0.799,0.621,0,4.76,0,"y"
120,0.031,0,0,0.19,0.19,"n"
40,0,0,0,0,0,"n"
97,0,0,0,0,0,"n"
13,0,0,0,0,0,"n"
723,0,0.161,0,0,0,"n"
238,0.252,0.421,0,0.48,0,"y"
305,0,0,0,0,0.3,"n"
476,0.021,0.779,0.39,0.13,0.26,"y"
35,0,0,0,0,0,"n"
17,0,0,0,0,0,"y"
461,0.291,1.021,0.24,0,0,"y"
172,0,0,0,0,0.26,"n"
137,0,0.403,0,0,0,"y"
2,0,0,0,0,0,"n"
39,0,0,0,0,0,"n"
744,0.168,1.687,0,0,0.47,"y"
21,0,0,0,0,0,"n"
129,0,0.084,0,0,0,"n"
65,0.062,0.31,0,0,0,"y"
145,0,0.044,0,0,0,"y"
15,0,0,0,0,0,"n"
963,0.016,0,0,0,0.05,"n"
235,0.057,0.057,0,0,0,"y"
64,0,0.254,0,0,1.39,"n"
1078,0,0.369,0,0,0,"y"
64,0,0,0,0,0,"n"
875,0.014,0.611,0.27,0.09,0.36,"y"
91,0,0.195,0,0,0,"n"
558,0,0,0,0,0,"n"
339,0,0.324,0.26,0,0.26,"y"
437,0,0.265,0,0,0.14,"y"
183,0,0.397,0,0,0,"y"
70,0,0,0,0,0,"n"
135,0,0.049,0,0,0,"n"
17,0,0,0,0,0,"n"
1200,0.174,0.334,0.2,0.1,0.1,"y"
39,0,0.216,0,0,0,"n"
81,0,0.107,0,0,0,"n"
1351,0.157,0.488,0.1,0.6,0.1,"y"
87,0,0.531,0,0,0,"y"
3,0,0,0,0,0,"n"
59,0,0.27,0,0,0,"n"
39,0,0,0,0,0.87,"n"
2062,0.109,0.522,0.28,0.46,0.14,"y"
72,0.23,0.23,0,0,0,"y"
134,0.218,1.021,0,1.31,0.43,"y"
8,0,8.333,0,0,0,"n"
7,0,0,0,0,0,"n"
172,0,0,0,0,0.26,"n"
80,0,0,0,0,0,"n"
112,0.11,0,0,0,0,"y"
131,0.478,0.095,0,1.59,0,"y"
3116,0.069,0.556,0.7,0.61,0.35,"y"
169,0,0,0,0,0,"n"
91,0,1.149,0,0,0,"y"
83,0.088,0.443,0,0,0,"y"
74,0,0.055,0,0,0.3,"n"
128,0.054,0,0,0,0,"n"
466,0,0,0,0,0,"n"
13,0,0.689,0,0,0,"n"
204,0,0,0,0,0,"n"
76,0,0.91,0,0,0,"n"
53,0,0.263,0,0,0,"n"
85,0.338,0,0,0,0,"y"
30,0,0,0,0,0,"n"
20,0,0.5,0,0,0,"n"
115,0,0,0,0,0,"n"
100,0,0,0,0,0,"n"
14,0,0.353,0,0,0,"n"
46,0,0,0,0,0,"n"
25,0,0,0,0,0,"n"
27,0,0,0,0,0,"n"
182,0,0,0,0,0,"y"
13,0,0.74,0,0,0,"n"
1439,0.16,0.352,0.2,0.4,0.1,"y"
1026,0.046,0.062,0.05,0.21,0.05,"n"
64,0,0.596,0,0,0,"n"
95,0,0.106,0,0,0,"n"
10,0,0,0,0,0,"n"
22,0,0.756,0,0,0,"n"
55,0,0.227,0,0,0,"n"
81,0.197,0,1.14,0,0,"y"
238,0,0,0,0,0,"n"
1128,0.753,0.732,0,0,0,"y"
135,0,0.233,0,0,0,"y"
1331,0.105,0.898,0,0,0.34,"y"
488,0.045,0.045,0,0,0,"y"
66,0,1.529,0,0,0,"y"
285,0,0,0.38,0,0,"n"
518,0,0.671,0.77,0,2.32,"y"
537,0.223,0.287,0.34,0.34,0.34,"y"
31,0,0.171,0,0,0,"n"
39,0,0,0,0,0,"n"
174,0,0,0,0,0,"n"
2224,0.573,0.425,0.59,0.34,0.41,"y"
564,0.148,1.599,0.67,0.22,0.45,"y"
97,0,0.124,0.4,0,0,"y"
152,0,0.244,0,0,0,"n"
512,0,0,0,0,0,"n"
106,0,0.843,0,0,1.23,"y"
566,0,0.052,0,0,0,"n"
650,0.127,1.3,0.47,0.15,0.31,"y"
34,0,0.204,0,0,1.12,"n"
6,0,0,0,0,0,"n"
475,0.061,0.371,0.12,0,0,"y"
261,0,1.257,0,0,0,"y"
148,0,0.087,0,0,0,"n"
24,0,0,0,0,0,"n"
8,0,0,0,0,0,"n"
108,0.224,0.224,0.33,0,0,"n"
9,0,0,0,0,0,"n"
58,0.109,0,1.25,0,0,"n"
35,0,0,0,0,0,"n"
44,0,0.09,0,0,0,"n"
313,0,1.284,0,0,0,"y"
259,4.017,0.378,0,0.62,0,"y"
1140,0.014,0.092,0.08,0.34,0.17,"y"
6,0,0,0,0,0,"n"
183,0,0,0.58,0,0,"n"
1280,0.101,0.101,0.06,0.06,0.26,"y"
94,0.17,0.17,0,0,0,"y"
896,0.225,1.051,0.3,0.76,0.15,"y"
41,0,0,0,0,0,"n"
693,0.018,0,0,0,0.2,"n"
96,0,0,0,0,0,"n"
5,0,0,0,0,0,"n"
206,0,0.037,0,0,0,"n"
693,0,0,0,0,0,"n"
4,0,0,0,0,0,"n"
44,0,1.326,0,0,0,"y"
282,0,0.147,0,0,0,"n"
217,0.149,0.373,0,0,0,"y"
172,0,0,0,0,0,"n"
317,0,0,0,0,0,"n"
444,0.169,0.01,0.06,0.85,0.18,"y"
139,0,0,0,0,0,"n"
5,0,0,0,0,0,"n"
334,0,0,0,0,0.23,"n"
167,0,0.102,0,0,0,"n"
181,0.261,1.218,0,1.62,0.54,"y"
195,0,0,0,0,0,"n"
222,0,0.736,0,0,0,"y"
68,0,0,0,0,0,"n"
501,0.128,0.96,0.43,0,0,"y"
148,0,0,0,0,0,"n"
248,0,0.055,0,0,0,"n"
25,0,0,0,0,0,"n"
110,0,0,0,0,0,"n"
118,0,0.048,0,0,0,"n"
665,0,0,0,0,0.06,"n"
35,0,0,0,0,0,"n"
51,0,0,0,0,0,"n"
53,0,0,0,0,0,"n"
536,0.161,0.02,0.05,0.74,0.17,"y"
8,0,0,0,0,0,"n"
5,0,0,0,0,0,"n"
71,0,0,0,0,0,"n"
478,0.229,0.104,0.98,0.49,0.73,"y"
24,0,0,0,0,0,"n"
11,0,0,0,0,0,"n"
27,0,0,0,0,0,"n"
30,0,0,0,0,0,"n"
20,0,0,0,0,0,"n"
184,0.211,0,0.3,0,0,"y"
55,0,0.146,0,0,0,"n"
38,0,0,0,0,0,"n"
50,0,0,0,0,0,"n"
113,0.216,0.185,0,0.19,0.19,"y"
15,0,0,0,0,0,"n"
384,0.106,0.996,0,0,0.2,"y"
496,0.053,0.053,0,0,0,"y"
89,0,0,0,0,0.23,"n"
76,0.431,0.215,0,2.53,0,"y"
426,0.345,0.345,0.2,0.62,0.41,"y"
1161,0.06,0.06,0,0,0.33,"y"
56,0,0,0,0,0,"n"
15,0,0,0,0,0,"n"
9,0,0,0,0,0,"n"
880,0.019,0,0,0,0.06,"n"
331,0,0,0,0,0,"n"
139,0,0,0,0,0,"n"
180,0,0.188,0,0,0,"n"
101,0,0,0,0,0,"n"
683,0,0.117,0,0,0,"n"
191,0,0.059,0,0,0,"n"
63,0,0.176,0,0,1.11,"n"
55,0,0.179,0,0,0,"n"
331,0,0,0,0,0,"n"
36,0,0.523,0,0,0,"n"
55,0,0.25,0,0,0,"n"
869,0.03,0.632,0,0,0,"y"
138,0,0.899,0.71,0,0,"y"
212,0,0.344,0,0,0.29,"n"
6,0,0,0,0,0,"n"
184,0,0.663,0,0,0,"y"
46,0,0,0,0,0,"n"
132,0.11,0.332,0,0,0,"y"
155,0.218,2.295,0,0,0.62,"y"
146,0.205,0.37,0.23,0.23,0.23,"n"
565,0.132,1.689,0.61,0.2,0.41,"y"
88,0,0,0,0,0,"n"
161,0,0,0,0,0,"n"
447,0,0.019,0,0,0,"n"
1,0,0,0,0,0,"n"
141,0,0.285,0,0,0,"n"
22,0,2.843,0,0,0,"n"
134,0,0.223,0,0,0,"y"
869,0.271,0.465,0,1.28,0,"y"
249,0.248,0.496,0,0.47,0,"y"
2220,0.5,0.456,0.6,0.37,0.5,"y"
88,0,0,0,0,0.31,"n"
82,0.353,0,0,0,0,"y"
30,0,0,0,0,0,"n"
133,0,0,0,0,0,"n"
129,0,0,0,0,0.9,"n"
104,0,0.238,0,0,0,"y"
1312,0.079,0.089,0.05,0,0.05,"y"
39,0,0.523,0,0,0,"n"
447,0.188,0.358,0.21,0,0.31,"y"
9,0,0,0,0,0,"n"
3498,0.165,0.639,0.84,0.34,0.87,"y"
61,0,0,0,0,0,"n"
1351,0.158,0.49,0.1,0.6,0.1,"y"
313,0,0.37,0,0,0,"y"
27,0,0.404,0,0,0,"n"
4,0,0,0,0,0,"n"
268,0.278,0.123,0.84,0,0.67,"y"
771,0,0.591,0,0,0.09,"y"
28,0,0,0,0,0,"n"
227,0,0.091,0,0,0.53,"n"
328,0,0.073,0,0,0,"n"
249,0.412,0.412,0,0.76,0,"y"
69,0,0,0,0,0,"n"
890,0.021,0,0,0,0.07,"n"
18,0,0,0,0,0,"n"
93,0.223,0.223,0.74,0,0,"y"
220,0.033,0,0,0,0.07,"n"
116,0,0,0,0,0,"n"
243,0.083,0.166,0,0,0,"y"
14,0,0,0,0,0,"n"
47,0,0.709,0,0,0.31,"n"
341,0.093,2.001,0,0,0.27,"y"
468,0.068,0,0.26,0,0.13,"y"
157,0.089,0.983,0,0,0,"y"
442,0.167,0.01,0.06,0.85,0.18,"y"
49,0,5.78,0,0,0.95,"n"
201,0,0,0,0,0,"n"
150,0,0,0,0,0,"n"
6,0,0,0,0,0,"n"
1261,0,0,0.18,0,0,"y"
78,0,0,0,0,0,"y"
272,0,0.078,0,0,0.08,"n"
26,0,0.396,0,0,0,"y"
7,0,0,0,0,0,"n"
1890,0.162,0.518,0.1,0.51,0,"y"
91,0.062,0.503,0.34,0.34,1.03,"y"
593,0,0.068,0,0.09,0,"n"
826,0,0.13,0.42,0,0,"y"
97,0.255,0.767,0,0,0,"y"
204,0,0,0,0,0.35,"n"
301,0,0.331,0,0,0,"y"
266,0,0,0,0,0.4,"n"
47,0,0.368,3.33,0,0,"y"
29,0,0.235,0,0,0,"n"
105,0,0,0,0,0,"n"
981,0.261,0.358,0.34,0.08,0,"y"
178,0.108,0.072,0.47,0,0,"y"
9,0,0,0,0,0,"n"
67,0,0,0,0,0.51,"n"
11,0,0,0,0,0,"n"
746,0.234,0.234,0.12,0.48,0,"y"
379,0,0,0,0,0,"y"
203,0.159,0.798,0,0,0,"n"
25,0,1.543,0,0,0,"y"
328,0.957,0.515,0.48,0.48,0,"y"
164,0.04,0,0,0,0,"y"
159,0.075,0.05,0,0.16,0.32,"y"
601,0,0,0,0,0.09,"n"
148,0,0,0,0,0,"n"
168,0,0.072,0,0,0,"n"
217,0.024,0.558,0.29,0,0.14,"y"
1561,0.097,0.39,0.16,0.08,0.08,"y"
126,0.5,0.142,0,0.46,0,"y"
568,0,0.031,0,0,0.22,"n"
8,0,0,0,0,0,"n"
261,0.048,0,0,0,0,"n"
135,0.064,0.645,0,0,0,"y"
77,0,0,0,0,0,"n"
69,0,0,0,0,0,"n"
1257,0.203,0.181,0.15,0,0.15,"y"
142,0,0,0,0,0,"n"
49,0,0,0,0,0,"n"
128,0,0,0,0,0,"n"
142,0,0,0,0,0.23,"n"
73,0,0,0,0,0,"n"
135,0,0.093,0.64,0,0,"y"
75,0,0,0,0,0,"n"
248,0.499,0.458,0,0.76,0,"y"
231,0.034,0.375,0,0,0.5,"y"
65,0.219,0,0,0,0,"n"
106,0,0.045,0,0,0,"n"
329,0.065,0.016,0,0.75,0.1,"y"
469,0.041,0.041,0,0,0.1,"n"
102,0.108,0,0,0,0,"n"
4,0,0,0,0,0,"n"
53,0,0,0,0,2,"n"
53,0,0,0,0,1.09,"n"
49,0,0.213,0,0,2.77,"n"
430,0,0,0,0,0,"n"
1108,0.16,0,0,0,0,"n"
49,0,0.889,0,0.78,0,"y"
1407,0.114,0.394,0.08,0.85,0.08,"y"
50,0,0.178,0,0,0,"n"
8,0,0,0,0,0,"n"
526,0.263,0.263,0.34,0.34,0.34,"y"
510,0.1,0,0.09,0.36,0,"n"
210,0.124,0.041,0,0,0.25,"y"
49,0,0.139,0,0,0,"n"
168,0.042,0.042,0,0,0,"n"
85,0,0,0.56,0,0,"n"
4,0,0,0,0,0,"n"
368,0.153,0.153,0.44,0,0.14,"y"
37,0,0,0,0.44,0,"y"
1414,0.118,0.486,0.08,0.85,0.08,"y"
356,0,0.07,0,0,0,"n"
16,0,0.546,0,0,0,"n"
10,0,0,0,0,0,"n"
26,0,0,0,0,0,"n"
29,0,0,0,0,0,"n"
62,0,0,0,0,0,"n"
90,0,0,0,0,0,"n"
134,0,0.051,0,0,0.33,"n"
135,0,0.046,0,0,0.52,"y"
771,0,0.591,0,0,0.09,"y"
15,0,0,0,0,0,"n"
14,0,0,0,0,0,"n"
1150,0.015,0,0,0,0.05,"n"
260,0.106,0.079,0.17,0,0,"y"
1310,0.079,0.099,0.05,0,0.05,"y"
210,0.067,0.135,0,0,0,"n"
153,0,0,0,0,0,"n"
131,0,0.301,0.44,0,0,"y"
102,0.816,0.081,0,1.38,0.46,"y"
87,0.269,0.672,0,0,0,"y"
2413,1.281,0.335,0.5,0.5,0.5,"y"
5,0,0.467,0,0,0,"n"
161,0,0.103,0.59,0,1.19,"y"
243,0.182,0.728,0,1.23,0.3,"y"
81,0,0.088,0,0,0,"n"
897,0.378,0.523,0.5,0,0.33,"y"
12,0,0,0,0,2.27,"n"
106,0,0,0,0,0,"y"
18,0,0.216,0,0,0,"n"
94,0,0.103,0,0,0.58,"n"
187,0,0,0,0,0,"n"
31,0,0.103,0,0,0,"n"
60,0,0.99,0,0,0,"y"
1463,0.013,0,0,0,0.09,"n"
3498,0.165,0.638,0.84,0.34,0.87,"y"
312,0,0.349,0,0.38,0,"y"
481,0,0,0,0,0,"y"
427,0,0.051,0,0,0.11,"n"
10,0,0,0,0,0,"n"
3,0,0,0,0,0,"n"
387,0,0.496,0,0,0,"y"
415,0,0,0,0,0,"n"
80,0,0,0,0,0,"n"
56,0,0.185,0,0,1.07,"n"
6,0,0,0,0,0,"n"
91,0,0.067,0,0,0.51,"y"
122,0,0.181,0,0,0,"n"
108,0,0,0,0,0,"y"
1726,0.182,0.384,0.1,0.52,0,"y"
317,0,0,0,0.13,0,"n"
442,0.167,0.01,0.06,0.84,0.18,"y"
31,0,0.497,0,0,0,"n"
27,0,0,0,0,0,"n"
136,0,0,0,0,0,"n"
5,0,0,0,0,0,"n"
65,0.062,0.31,0,0,0,"y"
131,0,0.867,0,0,0,"y"
146,0,0,0,0,0,"n"
871,0.075,0.028,0,0,0,"n"
621,0,2.077,0,0,0,"y"
9,0,0,0,0,0,"n"
287,0,1.232,0,0,0,"y"
25,0,0,0,0,0,"n"
6,0,0,0,0,0,"n"
36,0.253,0.759,0,0,1.63,"y"
903,0.099,0,0.17,0,0,"y"
328,0,0.082,0,0,0.15,"n"
68,0,0,0,0,0,"n"
85,0.354,0,0,0,0,"y"
24,0,0,0,0,0.76,"n"
836,0.028,0.047,0,0,0.06,"n"
24,0,4.733,0,0,0,"y"
3752,1.611,0,0,0,0,"y"
44,0,0,0,0,0,"n"
225,0.041,0.082,0,0,0.25,"y"
149,0.156,0,0.32,0,0,"y"
14,0,0.178,0,0,1.26,"n"
721,0.05,0.252,0.33,0.49,0,"y"
27,0,0.218,0,0,0,"n"
144,0,0,0,0,0,"y"
225,0.536,1.431,1.01,1.51,0,"y"
37,0,0.804,0,0,0,"y"
53,0,0,0,0,0,"n"
8,0,0,0,0,0,"n"
23,0,0,0,0,0,"n"
27,0,0,0,0,0,"n"
121,0,0,0,0,0,"n"
79,0,0,0,0,0,"n"
196,0.129,0,0,0,0,"n"
3168,0,0.016,0.03,0,0.01,"n"
131,0.475,0.095,0,1.58,0,"y"
28,0.606,0.606,0,3.57,0,"y"
89,0,0,0,0,0,"n"
25,0,0.333,0,0,0,"n"
53,0.199,0,1.31,0,0,"y"
127,0,0,0,0,0,"n"
145,0,0,0,0,0,"n"
27,0,0.181,0,0,0,"n"
132,0.118,0.356,0,0,0,"y"
85,0,0,0,0,0,"n"
321,0.336,0.224,0,0,0,"n"
5,0,0,0,0,0,"n"
103,0,0,0,0,0,"n"
885,0,0,0,0,0.09,"n"
288,0.885,0.797,0,0,0,"y"
157,0.829,2.766,0,0,0,"y"
32,0,0.309,0,0,0,"y"
84,0.692,0,0,0,0,"y"
364,0.129,0.843,0,0,0,"y"
192,0,0,0,0,0.09,"n"
1078,0,0.378,0,0,0,"y"
89,0,0.07,0,0,0.39,"n"
728,0.114,0.659,0.22,0,0.22,"y"
400,0.127,0.204,0.44,0,0.14,"y"
91,0,0,0,0,0,"n"
64,0.665,0,0,0,0,"n"
9,0,0,0,0,0,"n"
104,0,0,1.31,0,0,"n"
101,0,0.069,0,0,0,"n"
44,0,0.041,0,0,0.26,"n"
326,0,0.069,0,0.15,0,"n"
83,0,0,0,0,0,"n"
31,0,0,0,0,0,"n"
131,0,0,0,0,0,"n"
110,0,0.372,0,0,0,"n"
70,0.171,0,0,0,0,"y"
11,0,0,0,0,0,"n"
288,0.147,0.294,0,0,0,"y"
69,0.596,0.198,1.26,0,0,"y"
123,0,0.041,0,0,0,"n"
55,0,0.759,0,0,0,"y"
32,0,0,0,0,0,"n"
8,0,0,0,0,0,"n"
25,0,0.537,6.66,0,0,"y"
71,0,0,0,0,0,"n"
108,0.353,0.088,0.55,0,0,"y"
47,0,0.314,0,0,0,"n"
51,0,0,0,0,0,"y"
660,0.259,0.102,0.05,0.23,0.05,"y"
87,0,3.768,0,1.85,0,"y"
15,0,0.645,0,0,0,"n"
105,0,0,0,0,0,"n"
19,0,0,0,0,0,"n"
344,5.3,0.904,0.82,0.41,1.24,"y"
71,0.367,0.919,0,1.85,0,"y"
193,0,0,0,0,0,"n"
28,0,0,0,0,0,"n"
302,0.12,0.034,0,0.55,0,"y"
54,0,0.224,0,0,0,"y"
71,0,0.522,0.65,0,0,"y"
90,0,0.087,0,0,0,"n"
82,0,0,0,0,0.3,"n"
53,0,0,0,0,2,"n"
1575,0.265,0.449,0.26,0.39,0.26,"y"
566,0,0.31,0.52,0,0.52,"y"
308,0,0.542,0,0,0,"y"
8,0,0,0,0,0,"n"
475,0.061,0.37,0.12,0,0,"y"
189,0,0.286,0.67,0,0,"y"
22,0,0.374,0,0,0,"n"
188,0,0,0,0,0,"n"
139,0.157,0,0.32,0,0,"y"
151,0,0.125,0,0,0,"y"
525,0.043,0,0,0,0.1,"n"
888,0.229,0.613,1.17,0,1.01,"y"
38,0.18,0.361,0,0,0,"n"
85,0,1.413,0,0,0,"y"
86,0,0.109,0,0,0,"y"
48,0,0.277,0,0,2.32,"y"
1310,0,0,0,0,0,"n"
59,0,0,0,0,0.4,"n"
110,0,0,0,0,0,"y"
5,0,0,0,0,0,"n"
286,0.147,0.294,0,0,0,"y"
42,0,0,0,0,0,"n"
53,0,19.131,0,0,0,"n"
139,0.166,0,0.32,0,0,"y"
39,0,0,0,0,0,"n"
35,0,0,0,0,0,"n"
74,0.315,0.105,0.6,0,0.6,"y"
3498,0.166,0.64,0.84,0.34,0.87,"y"
93,0.138,0.415,0,0,0,"y"
16,0,0,0,0,0,"n"
212,0,0,0,0,0,"y"
3,0,0,0,0,0,"n"
28,0,0,0,0,0,"n"
6,0,0,0,0,0,"n"
31,0,0,0,0,0,"y"
14,0,0.613,0,0,0,"n"
24,0,0.214,0,0,0,"n"
32,0,0.111,0,0,0.56,"n"
65,0,0,0,0,0,"n"
7,0,0,0,0,0,"n"
667,0.191,0.271,0.41,0.16,0.49,"y"
233,1.492,0.213,0,0,0,"y"
15,0,2.631,0,0,0,"y"
70,0,0,0,0,0,"n"
35,0.118,0,0,0,0,"n"
30,0,0,0,0,0,"n"
94,0,0,0,0,0.31,"n"
97,0,0.089,0,0,0,"n"
97,0.048,0.048,0,0,0,"n"
3,0,0,0,0,0,"n"
24,0,0,0,0,0,"n"
3,0,0,0,0,0,"n"
84,0,0.387,0,0,0.68,"n"
151,0,0.309,0,0,1.04,"n"
693,0,0.134,0,0,0.22,"n"
73,0.46,0,0,0,0,"n"
53,0.943,0.628,0,5.45,0,"y"
33,0,0,0,0,0,"n"
19,0,0,0,0,0,"n"
482,0,0.065,0,0,0,"y"
323,0,0,0,0,0,"n"
5,0,0,0,0,0,"n"
37,0,0,0,0,0,"n"
5,0,0,0,0,0,"n"
42,0,0,0,0,0,"n"
22,0,0,0,0,0,"n"
84,0.186,0.186,0,0,0,"y"
125,0,0.056,0,0,0,"n"
543,0.037,1.046,0,0,0,"y"
635,0,0.207,0,0,0,"n"
1122,0.021,0.01,0,0,0,"n"
307,0.036,0,0,0,0,"n"
3318,0.03,0.046,0,0.17,0,"y"
68,0,0,0,0,0,"n"
113,0,0.502,0,0,0,"n"
224,0.217,0.795,0.46,0,0,"y"
41,0,0,0,0,0,"n"
4,0,0,0,0,0,"n"
185,0.716,0.102,0.6,0,0,"y"
64,0.665,0,0,0,0,"n"
162,0,0,0,0,0,"n"
452,0.046,0.371,0.28,0,0,"y"
48,0,0.211,0,0,0,"y"
218,0.218,0.218,0,1.44,0.28,"y"
841,0.063,0.633,0.54,0,0,"y"
96,0.048,0.048,0,0,0,"n"
61,0,0.108,0,0,0,"y"
234,0.254,0.677,0,0.49,0,"y"
293,0,0,0,0,0,"n"
81,0,0.083,0,0,0,"n"
8,0,0,0,0,0,"n"
158,0.29,0,0.32,0.98,0,"y"
158,0,0,0,0,0,"n"
12,0,0,0,0,0,"n"
239,0,0,0,0,0,"n"
129,0.203,0.203,0.25,0,0,"y"
68,0,0,0,0,0,"n"
349,0,0,0,0,0.39,"n"
1955,0.136,0.379,0.71,0.27,0.37,"y"
95,0,0.309,0,0,0,"y"
74,0,0.159,0,0,0,"n"
2259,0.046,0.25,0,0.05,0.05,"y"
24,0,0.147,0,0,0,"n"
78,0,0.225,0,0,0,"n"
666,0,0.09,0,0,0,"n"
28,0,0,0,0,0,"n"
51,0,0.184,0,0,0,"n"
50,0,0,0,0,0,"n"
53,0,0,0,0,0,"n"
726,0.026,0,0,0,0.09,"n"
133,0,0.125,0,0,0,"n"
47,0,0,0,0,0,"n"
34,0,0,0,0,0,"n"
133,0,0,0,0,0,"n"
29,0,0,0,0,0,"n"
542,0.031,0.252,0.09,0.36,0.09,"y"
184,0.16,0.64,0,0,0,"y"
139,0,0,0,0,0,"y"
858,0.104,0.156,0,0,0.33,"y"
79,0,0.127,0,0,0,"n"
78,0,0.785,0,0,0,"y"
23,0,0.709,0,0,0,"n"
451,0.169,0.01,0.06,0.85,0.18,"y"
51,0,0.114,0,0,0,"n"
965,0.022,0,0.02,0.37,0.07,"y"
508,0.078,0,0,0.11,0,"n"
129,0,0,0,0,0,"y"
91,0,0,0,0,0,"n"
473,0.481,1.765,0,0,0.86,"y"
139,0,0,0,0,0,"n"
39,0,0,0,0,0,"n"
144,0,0.54,0,0,0.76,"n"
12,0,0,0,0,0,"n"
43,0,0.506,0,0,0,"n"
1087,0.752,0.884,0,0,0,"y"
45,0,0,0,0,0,"n"
506,0,0.215,0,0,0,"y"
45,0,0,0,0,0,"n"
37,0,0.231,0,0,0,"n"
92,0,0,0,0,0,"n"
249,0,0,0,0,0,"y"
1734,0.156,0.588,0.44,0.44,0.22,"y"
13,0,0,0,0,0,"n"
588,0.118,0.054,0.2,0.15,0.05,"y"
8,0,0,0,0,0,"n"
43,0,0,0,0,0,"n"
19,0,0,0,0,0,"n"
19,0,0.692,0,0,0,"n"
49,0.204,0,0,0,0,"n"
67,0,0.249,0,0,0,"n"
30,0,0,0,0,0,"n"
25,0,0,0,0,0,"n"
105,0,0,0,0,0,"n"
26,0,0,0,0,0,"n"
227,0,0,0,0,0,"n"
15,0,0,0,0,0,"n"
258,0,0,0,0,0.21,"n"
17,0,0.586,0,0,0,"n"
51,0,0.176,0,0,0,"n"
92,0,0,0,0,0,"n"
153,0.15,1.131,0.44,0,0.44,"y"
367,0,0.02,0,0,0.27,"n"
